Engine,Fuel,Thrust,Weight ,Cycle,Ispvac,Ispatm,Group
Raptor 2,Methane,185,1.6,Full Flow,363,327,2
Merlin,RP-1,86,0.47,Open,311,282,3
RS-25,Hydrogen,190,3.18,Fuel Rich,452,366,1
RD-180,RP-1,391,5.48,Oxygen Rich,338,311,3
F-1,RP-1,690,8.4,Open,304,263,3
NK-33,RP-1,154,1.24,Oxygen Rich,331,297,3
Vulcaine,Hydrogen,110,1.3,Open,431,326,1
RS-68,Hydrogen,320,6.75,Open,412,365,1
J-2X,Hydrogen,134,2.47,Open,448,221,1
YF-100,RP-1,122,2.3,Oxygen Rich,335,300,3
RD-810,RP-1,192,2.8,Oxygen Rich,335,299,3
RD-191,RP-1,196,2.29,Oxygen Rich,337,311,3
RL-10,Hydrogen,7,0.3,Expander,465,N/A,1
J-2,Hydrogen,50,1.79,Open,421,200,1
LE-7,Hydrogen,86,1.71,Fuel Rich,446,349,1
RD-270,UDMH,639,3.37,Full Flow,322,301,4
RD-861,UDMH,8,0.12,Open,317,N/A,4
Vikas-2,UDMH,61,0.9,Open,281,248,4
